0.000000 0.477849 
0.040000 0.508977 
0.080000 0.540102 
0.120000 0.570814 
0.160000 0.600833 
0.200000 0.629945 
0.240000 0.658137 
0.280000 0.685266 
0.320000 0.711021 
0.360000 0.735286 
0.400000 0.758192 
0.440000 0.779728 
0.480000 0.799616 
0.520000 0.818230 
0.560000 0.835324 
0.600000 0.850876 
0.640000 0.865381 
0.680000 0.878354 
0.720000 0.890389 
0.760000 0.901135 
0.800000 0.911115 
0.840000 0.919893 
0.880000 0.928056 
0.920000 0.935137 
0.960000 0.941821 
1.000000 0.947462 
1.040000 0.952936 
1.080000 0.957559 
1.120000 0.961840 
1.160000 0.965692 
1.200000 0.968877 
1.240000 0.972165 
1.280000 0.974857 
1.320000 0.977199 
1.360000 0.979578 
1.400000 0.981491 
1.440000 0.983131 
1.480000 0.984912 
1.520000 0.986325 
1.560000 0.987405 
1.600000 0.988723 
1.640000 0.989838 
1.680000 0.990686 
1.720000 0.991354 
1.760000 0.992315 
1.800000 0.993057 
1.840000 0.993601 
1.880000 0.993965 
1.920000 0.994622 
1.960000 0.995181 
2.000000 0.995588 
